"","week","state","incidence","inc_factor"
"200",2020-03-22,"Wyoming",0,"0"
"201",2020-03-29,"Alabama",8.97375889345395,"1-10"
"202",2020-03-29,"Alaska",2.73393981231503,"1-5"
"203",2020-03-29,"Arizona",5.08331344658681,"1-10"
"204",2020-03-29,"Arkansas",2.98230103744312,"1-5"
"205",2020-03-29,"California",6.85863713615911,"1-10"
"206",2020-03-29,"Colorado",14.2392358323076,"10-25"
"207",2020-03-29,"Connecticut",37.0236673793723,"25-50"
"208",2020-03-29,"Delaware",9.24248585899664,"1-10"
"209",2020-03-29,"Florida",6.47181777111807,"1-10"
"210",2020-03-29,"Georgia",12.1498408794676,"10-25"
"211",2020-03-29,"Hawaii",2.82511413461104,"1-5"
"212",2020-03-29,"Idaho",2.79788368078386,"1-5"
"213",2020-03-29,"Illinois",15.4673902038231,"10-25"
"214",2020-03-29,"Indiana",22.875072840025,"10-25"
"215",2020-03-29,"Iowa",3.48645196461568,"1-5"
"216",2020-03-29,"Kansas",5.49202729262963,"1-10"
"217",2020-03-29,"Kentucky",6.93873522077377,"1-10"
"218",2020-03-29,"Louisiana",58.5097984552553,"50-75"
"219",2020-03-29,"Maine",6.69537245613043,"1-10"
"220",2020-03-29,"Maryland",14.0596260470286,"10-25"
"221",2020-03-29,"Massachusetts",34.6753566882742,"25-50"
"222",2020-03-29,"Michigan",76.1000182539912,">75"
"223",2020-03-29,"Minnesota",3.36901414844089,"1-5"
"224",2020-03-29,"Mississippi",25.2003511920942,"25-50"
"225",2020-03-29,"Missouri",8.96140859004782,"1-10"
"226",2020-03-29,"Montana",4.67824000868281,"1-5"
"227",2020-03-29,"Nebraska",3.10172414506143,"1-5"
"228",2020-03-29,"Nevada",10.0644253083285,"10-25"
"229",2020-03-29,"New Hampshire",5.14815280600069,"1-10"
"230",2020-03-29,"New Jersey",79.4849018091259,">75"
"231",2020-03-29,"New Mexico",4.29219550092068,"1-5"
"232",2020-03-29,"New York",23.5946518994646,"10-25"
"233",2020-03-29,"North Carolina",3.14642788902148,"1-5"
"234",2020-03-29,"North Dakota",2.62445837740236,"1-5"
"235",2020-03-29,"Ohio",6.58733349872959,"1-10"
"236",2020-03-29,"Oklahoma",8.59243092759588,"1-10"
"237",2020-03-29,"Oregon",3.08222157996101,"1-5"
"238",2020-03-29,"Pennsylvania",7.96751192334254,"1-10"
"239",2020-03-29,"Rhode Island",22.6551666523499,"10-25"
"240",2020-03-29,"South Carolina",6.79781397840315,"1-10"
"241",2020-03-29,"South Dakota",1.13037905000684,"1-5"
"242",2020-03-29,"Tennessee",7.90725203370129,"1-10"
"243",2020-03-29,"Texas",4.37993244626711,"1-5"
"244",2020-03-29,"Utah",1.87151547213033,"1-5"
"245",2020-03-29,"Vermont",12.8207388271268,"10-25"
"246",2020-03-29,"Virginia",4.10051222427131,"1-5"
"247",2020-03-29,"Washington",15.8899146711582,"10-25"
"248",2020-03-29,"West Virginia",1.11597988334662,"1-5"
"249",2020-03-29,"Wisconsin",7.38522755260085,"1-10"
"250",2020-03-29,"Wyoming",0,"0"
"251",2020-04-05,"Alabama",16.111976195065,"10-25"
"252",2020-04-05,"Alaska",4.10090971847255,"1-5"
"253",2020-04-05,"Arizona",7.69366359483409,"1-10"
"254",2020-04-05,"Arkansas",4.30776816519562,"1-5"
"255",2020-04-05,"California",9.64258578921262,"1-10"
"256",2020-04-05,"Colorado",25.7000841851406,"25-50"
"257",2020-04-05,"Connecticut",92.278686119799,">75"
"258",2020-04-05,"Delaware",19.5119145912151,"10-25"
"259",2020-04-05,"Florida",11.6865198600765,"10-25"
"260",2020-04-05,"Georgia",21.0973981162849,"10-25"
"261",2020-04-05,"Hawaii",3.5313926682638,"1-5"
"262",2020-04-05,"Idaho",9.51280451466511,"1-10"
"263",2020-04-05,"Illinois",34.2492211656083,"25-50"
