,submission_date,state,new_death,week
402,2021-04-05,Indiana,6.0,58
404,2020-05-22,New Jersey,142.0,12
405,2020-03-24,Michigan,29.0,4
406,2020-12-14,Mississippi,50.0,42
408,2021-04-13,Vermont,0.0,59
409,2020-03-16,North Carolina,0.0,3
410,2021-01-31,Missouri,21.0,49
411,2020-08-30,Michigan,7.0,27
412,2020-03-10,Connecticut,0.0,2
413,2021-03-08,Michigan,19.0,54
414,2020-04-29,Idaho,0.0,9
415,2020-06-27,Virginia,8.0,17
416,2021-01-24,California,483.0,48
417,2020-03-29,Maryland,7.0,5
418,2020-05-21,Idaho,0.0,12
419,2020-04-13,Oregon,1.0,7
420,2020-07-07,Arizona,117.0,19
421,2020-08-12,Missouri,11.0,24
422,2020-03-29,North Carolina,1.0,5
423,2020-06-27,Michigan,12.0,17
424,2020-05-18,California,72.0,12
425,2020-11-30,Missouri,56.0,40
431,2020-04-10,Nebraska,2.0,6
432,2020-06-15,Montana,0.0,16
433,2020-03-11,Wyoming,0.0,2
434,2020-05-17,North Dakota,1.0,12
436,2021-05-25,Nebraska,0.0,65
437,2020-11-22,North Dakota,6.0,39
438,2021-01-04,Vermont,4.0,45
439,2020-07-10,Connecticut,0.0,19
441,2021-05-20,Oregon,5.0,64
442,2021-04-12,Virginia,20.0,59
443,2020-08-12,Illinois,15.0,24
444,2020-05-17,Rhode Island,10.0,12
445,2020-04-01,Nevada,6.0,5
446,2020-06-22,New Jersey,25.0,17
447,2020-04-20,North Carolina,15.0,8
448,2021-02-18,Connecticut,20.0,51
449,2020-10-16,Maryland,7.0,33
450,2020-07-01,Kentucky,7.0,18
451,2020-10-07,Arizona,20.0,32
452,2020-05-01,Virginia,0.0,9
453,2020-12-15,Connecticut,22.0,42
454,2020-07-09,Missouri,8.0,19
455,2020-12-12,Illinois,165.0,41
456,2020-04-13,Alabama,8.0,7
457,2020-12-26,Washington,0.0,43
458,2021-01-25,Michigan,47.0,48
459,2021-04-05,Minnesota,10.0,58
460,2021-04-21,North Dakota,0.0,60
461,2021-05-27,Mississippi,2.0,65
462,2020-04-18,Maine,3.0,7
463,2021-05-24,South Carolina,3.0,65
465,2020-10-30,New Hampshire,0.0,35
466,2020-10-03,Wisconsin,20.0,31
467,2020-07-28,Arizona,104.0,22
468,2020-09-09,Montana,0.0,28
469,2021-05-26,Delaware,1.0,65
470,2021-05-01,South Carolina,8.0,61
471,2020-12-07,Nebraska,31.0,41
472,2020-05-24,Alabama,18.0,13
474,2020-03-29,Wisconsin,0.0,5
475,2020-07-11,North Carolina,24.0,19
476,2020-07-02,Virginia,30.0,18
477,2020-09-28,Connecticut,2.0,31
478,2020-06-18,Montana,0.0,16
479,2020-12-07,Illinois,100.0,41
480,2020-07-31,Montana,2.0,22
481,2020-12-14,Missouri,64.0,42
483,2020-03-01,New Hampshire,0.0,1
484,2021-02-22,North Carolina,36.0,52
485,2021-04-15,Louisiana,9.0,59
487,2020-03-24,Idaho,0.0,4
488,2021-04-30,Kentucky,4.0,61
489,2020-04-14,Idaho,6.0,7
490,2020-11-20,Oregon,4.0,38
491,2021-06-02,Minnesota,0.0,66
492,2020-11-04,Kentucky,11.0,36
493,2020-03-21,Wisconsin,1.0,3
494,2021-05-24,Missouri,56.0,65
496,2021-05-30,Oregon,2.0,66
498,2021-03-11,New Hampshire,4.0,54
499,2020-04-06,Minnesota,5.0,6
500,2020-11-15,Connecticut,0.0,38
501,2020-07-08,North Carolina,14.0,19
502,2020-06-29,Virginia,23.0,18
504,2020-09-25,Illinois,33.0,30
505,2021-01-13,South Carolina,81.0,46
506,2021-05-20,Connecticut,4.0,64
507,2020-04-25,New Hampshire,7.0,8
508,2021-01-16,Rhode Island,15.0,46
510,2020-03-20,Delaware,0.0,3
511,2021-03-02,Louisiana,19.0,53
512,2021-04-12,Rhode Island,1.0,59
513,2020-08-26,Virginia,12.0,26
514,2021-02-18,Oregon,6.0,51
516,2020-09-22,Kentucky,7.0,30
518,2020-04-04,Alabama,4.0,5
519,2021-05-20,Alabama,0.0,64
520,2021-04-15,Oregon,6.0,59
521,2020-07-26,Missouri,5.0,22
522,2020-05-17,Idaho,0.0,12
523,2021-03-19,Montana,3.0,55
524,2021-03-13,New Jersey,34.0,54
527,2020-03-01,California,0.0,1
529,2020-10-13,Virginia,9.0,33
531,2021-02-04,Rhode Island,8.0,49
532,2020-07-25,Vermont,0.0,21
533,2021-05-12,Oregon,10.0,63
534,2020-10-14,Maine,1.0,33
535,2020-07-11,Kentucky,2.0,19
536,2021-02-11,Nebraska,16.0,50
537,2020-12-04,South Carolina,22.0,40
538,2020-12-15,Washington,35.0,42
539,2021-05-12,Idaho,6.0,63
540,2020-03-09,Mississippi,1.0,2
541,2020-06-17,Wisconsin,9.0,16
542,2020-08-24,North Carolina,28.0,26
543,2020-10-29,Delaware,1.0,35
545,2020-05-21,Arizona,16.0,12
546,2021-02-24,Indiana,17.0,52
547,2020-05-16,Mississippi,14.0,11
548,2020-10-05,North Carolina,28.0,32
549,2020-07-26,Wisconsin,1.0,22
550,2020-03-07,New Jersey,0.0,1
551,2020-06-10,Nevada,4.0,15
553,2020-10-12,Missouri,20.0,33
554,2020-09-09,Oregon,8.0,28
555,2020-03-04,Connecticut,0.0,1
556,2020-10-21,Indiana,37.0,34
557,2021-04-29,Wyoming,0.0,61
558,2020-06-12,Wisconsin,13.0,15
559,2021-04-10,Indiana,9.0,58
560,2020-11-25,Maine,0.0,39
562,2020-07-31,New Jersey,10.0,22
563,2020-04-29,Louisiana,44.0,9
564,2020-12-13,Oregon,5.0,42
565,2021-04-03,Connecticut,0.0,57
566,2021-05-24,Illinois,10.0,65
567,2020-06-21,California,78.0,17
569,2020-05-12,Nebraska,3.0,11
572,2020-07-07,Mississippi,31.0,19
573,2020-07-07,New Hampshire,2.0,19
575,2020-04-20,Mississippi,23.0,8
576,2021-05-31,Washington,0.0,66
577,2021-05-26,Montana,1.0,65
578,2021-03-25,Connecticut,10.0,56
579,2020-10-09,Idaho,3.0,32
581,2021-01-29,Virginia,70.0,48
582,2020-04-16,Oregon,6.0,7
583,2021-05-29,Rhode Island,0.0,65
584,2021-03-11,North Dakota,1.0,54
585,2021-03-26,Mississippi,1.0,56
586,2020-09-24,Indiana,17.0,30
587,2021-04-08,Illinois,38.0,58
588,2021-02-27,Oregon,2.0,52
589,2020-07-17,Washington,7.0,20
592,2020-07-01,Alabama,18.0,18
595,2021-03-30,Wisconsin,15.0,57
596,2020-06-03,New Jersey,110.0,14
597,2020-10-06,Kentucky,4.0,32
599,2020-06-13,Wisconsin,2.0,15
600,2020-08-09,Washington,0.0,24
601,2021-04-01,Indiana,10.0,57
602,2021-03-19,Kentucky,25.0,55
604,2020-05-02,Louisiana,,9
606,2020-11-06,Maryland,13.0,36
607,2020-03-14,South Carolina,0.0,2
608,2020-05-20,Maine,0.0,12
609,2021-05-19,Montana,0.0,64
610,2020-09-25,Wisconsin,9.0,30
611,2021-01-02,Idaho,12.0,44
612,2020-07-12,Minnesota,5.0,20
613,2020-04-19,Indiana,37.0,8
616,2020-05-02,Oregon,5.0,9
617,2021-04-07,North Carolina,3.0,58
618,2020-06-21,Michigan,10.0,17
619,2020-03-22,Montana,0.0,4
620,2021-01-01,North Dakota,1.0,44
621,2020-06-04,Montana,0.0,14
622,2021-02-25,South Carolina,21.0,52
623,2021-04-08,Oregon,5.0,58
624,2021-02-09,Maine,2.0,50
625,2021-04-13,Mississippi,0.0,59
629,2021-01-31,Wyoming,0.0,49
630,2020-07-30,Louisiana,42.0,22
631,2021-05-03,Nevada,9.0,62
632,2021-06-03,Mississippi,0.0,66
633,2020-07-12,North Dakota,0.0,20
634,2020-03-16,Nebraska,0.0,3
635,2021-02-06,Illinois,73.0,49
637,2020-12-05,New Hampshire,7.0,40
638,2020-09-18,Wyoming,0.0,29
639,2020-03-31,Wisconsin,2.0,5
640,2021-04-10,North Carolina,11.0,58
641,2020-08-28,Montana,2.0,26
